"","x"
"1",23.1
"2",20.5
"3",24.4
"4",51.1
"5",41.6
"6",36.4
"7",44
"8",69.6
"9",44.4
"10",50.7
"11",27.7
"12",30.9
"13",35.1
"14",35.4
"15",36.8
"16",32.6
"17",26.7
"18",22.5
"19",21.2
"20",27.2
"21",27.5
"22",23.2
"23",30.4
"24",32.9
"25",28
"26",35.2
"27",55.5
"28",42.4
"29",33.6
"30",47
"31",23.7
"32",59.7
"33",54.4
"34",46.2
"35",51.2
"36",51.9
"37",68.1
"38",58.1
"39",57.2
"40",72.3
"41",55.8
"42",35.3
"43",51.3
"44",53.4
"45",45.2
"46",51.8
"47",35.7
"48",44.9
"49",42.9
"50",54.2
"51",54.9
"52",58.9
"53",45.3
"54",41.4
"55",37.6
"56",34.8
"57",36.7
"58",51
"59",51.2
"60",55.8
"61",49.1
"62",44.6
"63",56.3
"64",42.1
"65",29.1
"66",26.6
"67",28.2
"68",31.5
"69",36
"70",37.1
"71",42.3
"72",52.2
"73",42.8
"74",79.2
"75",35.1
"76",70.4
"77",87.2
"78",55.9
"79",72.5
"80",48.5
"81",54.7
"82",77.5
"83",52.5
"84",53.3
"85",49.1
"86",46.1
"87",39.4
"88",32.8
"89",29.6
"90",38.9
"91",40.5
"92",32.2
"93",54.2
"94",38.6
"95",79.1
"96",31.7
"97",52.7
"98",63.5
"99",45.7
"100",38.5
"101",37.1
"102",34.7
"103",47.8
"104",41.8
"105",43.6
"106",33.3
"107",34.1
"108",30.7
"109",21.8
"110",22.5
"111",24.9
"112",28.2
"113",22.3
"114",23.5
"115",33.4
"116",24.1
"117",21
"118",31.1
"119",11.9
"120",25.7
"121",33.1
"122",19.9
"123",21.5
"124",21.9
"125",19
"126",20.2
"127",32.5
"128",27.6
"129",39.7
"130",23.5
"131",22.2
"132",19.2
"133",23.4
"134",24.3
"135",26.1
"136",19.5
"137",21.5
"138",23.2
"139",27.9
"140",24.5
"141",21.3
"142",18.1
"143",16
"144",14.5
"145",15.9
"146",15.8
"147",19.8
"148",22.8
"149",22.8
"150",32.3
"151",17.4
"152",17.8
"153",19.9
"154",19
"155",14.2
"156",18.1
"157",19.6
"158",20.2
"159",23.3
"160",23.9
"161",22.5
"162",21.2
"163",26.3
"164",25.8
"165",21.1
"166",20
"167",20.9
"168",17.2
"169",18.6
"170",25
"171",22.5
"172",21.1
"173",24.2
"174",23.4
"175",24.3
"176",26.3
"177",27.1
"178",24.7
"179",22.2
"180",25.1
"181",30.9
"182",33.9
"183",36.1
"184",32.8
"185",26.8
"186",25.2
"187",22.5
"188",20.6
"189",23.7
"190",26.8
"191",20.6
"192",23.6
"193",19.6
"194",19.2
"195",24.2
"196",25.2
"197",52.2
"198",54.7
"199",29.6
"200",26.3
"201",28.7
